ID,Title,Software Path,Number of changes,,Software Path,Number of bugs
119202,[Save and recall] -Save and recall saved on original Pos,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/V1PromotionConverters/V1DatesFactory.cs,2,,/R10/Main/Release/5.x/5.0.3/Office/Src/Modules/Promotion/Web/ViewModels/DataMapping/Helpers/MapToViewModel/ActionsToViewModelMapperHelper.cs,2
64323,Integration tests  - BRM,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/TransactionLog/ControlTransactionLog/Visitors/OperatorBypassLogCreationVisitor.cs,2,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/Tests/FrontEnd.Test/Promotion/BackwardCompatibility/PromotionMaintenanceServiceShould.cs,2
143783,Drop 8 - Sanity - Trans isn't available msg while trying to recall trans on 3rd time,/R10/Main/Trunk/Components/Regional/US/Tax/StoreServer/DB/Scripts/Core/SqlServer/upgrade/5.0.3_5.0.4/0224_Schema_Tax tables.sql,2,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/FrontEnd/Promotion/BackwardCompatibility/ModelToContract/ActionsBuilder.cs,2
87678,R10Auto:tax discount cacel,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/PartialUpdate/ConditionsUpdate.cs,2,,/R10/Main/Release/5.x/5.0.1/Servers/Store/App/Src/BL.BusinessServices/FrontEnd/LineItem/LineItemAdd/Handlers/LineItemAddRtsRequestAdapter.cs,2
83358,R10Auto:TaxExemptionCancel not working,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/PartialUpdate/PromotionUpdate.cs,2,,/R10/Main/Release/5.x/5.0.3/Office/Src/Modules/BusinessRules/Contracts/ViewModels/BusinessRules/Conditions/Mappers/ProductConditionViewModelMapper.cs,2
65903,DBA - Null values in FK columns of the TAX tables,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/FrontEnd/Promotion/BackwardCompatibility/ModelToContract/ConditionsFactory.cs,2,,/R10/Main/Trunk/Servers/Store/App/Src/Model/Private/Selling/Legacy/RetailTransaction/EventSystem/EventArgs/ITransactionResumedArgs.cs,2
83251,"R10Auto: GovernmentProgramsParameters returned ""Empty response""",/R10/Main/Trunk/Office/Src/Modules/Promotion/Web/ViewModels/Promotion/Canvas/Rewards/MemberAccount/DataMapping/ActionPromotionMemberAccountMapper.cs,2,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/V1PromotionConverters/V1RestrictionsFactory.cs,2
87678,R10Auto:tax discount cacel,/R10/Main/Release/5.x/5.0.3/Office/Src/Modules/BusinessRules/Contracts/ViewModels/Brms/DataMapping/Conditions/BrmsProductConditionViewModelMapper.cs,2,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/ContractType/PromotionType.cs,2
83358,R10Auto:TaxExemptionCancel not working,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/TransactionLog/ControlTransactionLog/Visitors/PriceUpdateCreationVisitor.cs,2,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/FrontEnd/Promotion/BackwardCompatibility/ContractToModel/FundingFactory.cs,2
65903,DBA - Null values in FK columns of the TAX tables,/R10/Main/Release/4.x/4.2/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/TransactionLog/Arts6LogWrtiers,2,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/V1PromotionConverters/V1CriterionsFactory.cs,2
